model	emissions_original	emissions_criteria	red_perc	red_abs
BPR	3.9484	2.483	37.1154	1.4654
CKFG	5.881	1.8037	69.3305	4.0773
CKE	5.6839	2.0806	63.3944	3.6033
DMF	2.2927	2.9977	12.869	0.2949
KGCN	6.8754	3.9708	42.2461	2.9046
KGNNLS	7.763	1.8709	75.8996	5.8921
LINE	1.9129	1.396	27.0205	0.5169
MultiDAE	8.0303	3.048	62.044	4.9823
LightGCN	15.626	1.7426	88.8482	13.8834
NGCF	7.7582	2.821	63.6387	4.9372
DGCF	94.903	11.8866	87.475	83.0164
