model	emissions_original	emissions_criteria	red_perc	red_abs
BPR	3.9484	3.2382	17.9867	0.7102
CFKG	5.881	1.9178	67.3907	3.9632
CKE	5.6839	2.32	59.1839	3.3639
DMF	2.2927	1.9929	13.0788	0.2998
KGCN	6.8754	4.0376	41.2747	2.8378
KGNNLS	7.763	2.0222	73.9507	5.7408
LINE	1.9129	1.3883	27.4219	0.5246
MultiDAE	8.0303	3.1853	60.3338	4.845
LightGCN	15.626	1.8528	88.1427	13.7732
NGCF	7.7582	3.1472	59.4342	4.611
DGCF	94.903	13.3956	85.885	81.5074
