model	emissions_original	emissions_criteria	red_perc	red_abs
BPR	3.9484	3.1221	20.93	0.8263
CFKG	5.881	1.9202	67.35	3.9608
CKE	5.6839	2.078	63.44	3.6059
DMF	2.2927	1.9962	12.93	0.2965
KGCN	6.8754	3.9292	42.85	2.9462
KGNNLS	7.763	4.7984	38.19	2.9646
LINE	1.9129	1.3937	27.14	0.5192
MultiDAE	8.0303	3.7405	53.42	4.2898
LightGCN	15.626	2.1161	86.46	13.5099
NGCF	7.7582	2.885	62.81	4.8732
DGCF	94.903	12.0604	87.2918	82.8426
