model	emissions_original	emissions_criteria	red_perc	red_abs
BPR	3.9484	3.16	19.9686	0.7884
CFKG	5.881	4.8334	17.8139	1.0476
CKE	5.6839	2.3175	59.2271	3.3664
DMF	2.2927	1.9826	13.5251	0.3101
KGCN	6.8754	4.0424	41.2058	2.833
KGNNLS	7.763	4.963	36.0686	2.8
LINE	1.9129	1.435	24.9825	0.4779
MultiDAE	8.0303	3.9954	50.2465	4.0349
LightGCN	15.626	2.0841	86.6623	13.5419
NGCF	7.7582	3.1251	59.7184	4.6331
DGCF	94.903	13.3787	85.9028	81.5243
