model	emissions_original	emissions_criteria	red_perc	red_abs
BPR	3.9484	2.5219	36.1284	1.4265
CKFG	5.881	1.8872	67.9104	3.9938
CKE	5.6839	2.0466	63.9932	3.6373
DMF	2.2927	2.0856	9.0319	0.2071
KGCN	6.8754	3.796	44.7884	3.0794
KGNNLS	7.763	4.3657	43.7626	3.3973
LINE	1.9129	1.4314	25.1721	0.4815
MultiDAE	8.0303	3.9614	50.4865	4.0689
LightGCN	15.626	1.9001	87.8402	13.7259
NGCF	7.7582	2.6923	65.2979	5.0659
DGCF	94.903	10.4109	89.03	84.4921
